##tilesets

#tileset
name TILE_50_50
id 1
texture res/img/levels/tiles/50_50.png
width 50
height 50
#end

#tileset
name TILE_100_100
id 2
texture res/img/levels/tiles/1_100_1.png
width 50
height 50
#end

#tileset
name TILE_1_100_100
id 3
texture res/img/levels/tiles/1_100_2.png
width 50
height 50
#end

#tileset
name TILE_2_100_100
id 4
texture res/img/levels/tiles/1_100_3.png
width 50
height 50
#end

#tileset
name TILE_3_100_100
id 4
texture res/img/levels/tiles/1_100_4.png
width 50
height 50
#end

#data
2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4,5,4,5,2,3,0,0,0,0,0,0,0,0,0,0,0,4,5
2,3,1,1,4,5,2,3,0,0,0,0,0,0,0,0,0,2,3
4,5,1,1,1,1,4,5,0,0,0,0,0,0,0,0,0,4,5
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4,5,0,0,0,0,0,0,0,0,0,2,3,2,3,2,3,4,5
2,3,0,0,0,0,0,0,0,2,3,4,2,3,5,2,3,2,3
4,5,0,0,0,0,0,2,3,4,5,2,3,3,2,4,5,4,5
2,3,0,0,0,2,3,4,5,2,2,4,2,3,4,5,3,2,3
4,5,0,0,0,4,5,2,3,4,4,5,4,5,4,4,5,4,5
2,3,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,2,3
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2,3,2,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2,3
4,5,4,5,0,0,0,0,0,0,0,4,3,3,0,0,0,4,5
2,3,4,1,2,3,2,3,2,2,3,4,3,3,0,0,0,2,3
4,5,1,4,4,5,4,5,4,4,5,3,3,0,0,0,0,2,3
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3
4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5
#end
